SITE_ID,REGION,VEG_TYPE,TREATMENT,ELEV,SLOPE,CANOPY_COVER,PRE_BIOMASS,POST_BIOMASS,PRE_SM,POST_SM,PRE_TEMP,POST_TEMP
1,SouthForest,Pine,Intervention,348.3,11.97,46.4,123.19,106.03,31.24,35.08,21.58,21.6
2,EastForest,Mixed,Control,514.8,3.95,41.8,125.28,115.39,28.52,31.01,17.82,18.1
3,WestForest,Mixed,Intervention,406.1,6.06,74.0,141.82,130.69,24.62,26.12,14.63,14.96
4,WestForest,Scrub,Control,393.2,16.18,57.9,96.71,96.01,29.12,29.09,19.2,18.8
5,SouthForest,Mixed,Control,567.1,5.63,38.0,90.31,72.56,17.42,18.3,17.22,16.85
6,SouthForest,Oak,Control,406.7,3.09,56.9,106.43,100.69,21.83,22.06,24.99,25.2
7,WestForest,Oak,Control,571.7,0.64,43.7,133.82,131.79,27.0,26.03,20.9,21.37
8,WestForest,Scrub,Intervention,347.9,6.97,57.8,120.7,110.92,21.68,24.36,16.6,16.66
9,SouthForest,Pine,Intervention,388.4,2.33,66.6,149.89,143.04,29.67,30.74,21.92,21.95
10,NorthForest,Mixed,Control,577.1,9.05,67.6,61.96,61.76,24.73,25.03,15.48,16.49
11,EastForest,Mixed,Intervention,472.3,11.43,68.4,93.32,81.27,21.13,21.55,10.63,10.18
12,SouthForest,Mixed,Control,424.1,3.17,17.8,116.52,117.97,15.45,16.43,13.93,12.6
13,NorthForest,Pine,Control,504.6,18.46,75.5,109.42,109.19,35.55,37.23,19.97,21.02
14,EastForest,Pine,Intervention,460.6,5.95,74.2,147.04,138.71,27.67,30.3,18.46,19.85
15,EastForest,Oak,Control,238.6,11.35,77.2,125.21,115.42,30.65,29.31,23.69,24.21
16,EastForest,Pine,Intervention,422.7,2.75,25.9,137.09,121.2,37.15,41.67,14.59,14.66
17,WestForest,Oak,Intervention,398.3,1.77,51.1,130.48,112.62,18.74,21.18,19.75,19.96
18,EastForest,Oak,Intervention,261.1,16.6,57.2,103.27,94.22,24.34,28.65,20.05,19.39
19,WestForest,Mixed,Intervention,415.5,8.63,63.4,144.46,127.57,24.58,27.39,20.73,20.51
20,SouthForest,Mixed,Control,622.2,2.59,59.8,95.53,87.3,21.88,21.4,19.29,20.09
21,EastForest,Oak,Control,440.3,1.69,35.7,122.7,111.46,23.83,25.4,16.93,18.0
22,SouthForest,Oak,Control,401.2,6.12,77.0,126.44,124.12,35.81,36.04,21.54,22.86
23,EastForest,Mixed,Control,382.0,9.38,87.4,123.05,124.11,36.96,39.77,13.66,12.66
24,SouthForest,Oak,Intervention,383.7,0.86,70.1,103.64,95.21,20.15,20.89,23.34,22.56
25,NorthForest,Oak,Control,319.1,3.56,74.9,93.22,87.24,29.2,30.2,24.36,24.72
26,WestForest,Pine,Intervention,580.6,3.19,68.8,100.15,87.21,27.33,30.97,20.43,19.97
27,SouthForest,Oak,Control,374.0,11.64,90.5,148.05,141.3,29.19,27.49,20.23,20.28
28,WestForest,Oak,Control,606.8,1.01,40.8,65.96,59.86,30.18,32.14,18.36,18.2
29,EastForest,Mixed,Control,396.8,1.42,57.7,136.5,134.69,36.09,34.55,22.01,21.88
30,EastForest,Oak,Intervention,492.7,2.69,76.4,145.9,137.13,33.66,36.69,17.61,17.28
31,SouthForest,Oak,Intervention,304.6,5.75,61.7,103.2,91.64,18.74,22.83,19.79,20.5
32,SouthForest,Oak,Control,623.6,10.31,68.5,102.84,95.1,31.51,33.49,21.99,21.72
33,EastForest,Pine,Control,382.4,1.52,47.4,99.53,100.46,38.73,40.21,20.49,20.71
34,EastForest,Oak,Control,288.0,10.48,64.7,129.8,133.25,17.52,15.55,14.39,14.26
35,SouthForest,Oak,Control,502.0,1.5,36.3,99.71,90.31,28.2,29.03,14.72,15.38
36,NorthForest,Oak,Intervention,406.0,4.47,61.4,186.73,172.46,29.65,33.43,21.45,21.93
37,NorthForest,Scrub,Control,463.6,9.33,66.4,151.99,147.48,21.04,20.41,17.66,16.78
38,SouthForest,Mixed,Control,430.4,0.63,56.1,112.84,110.89,19.46,21.9,22.85,21.76
39,SouthForest,Oak,Intervention,532.5,2.19,68.3,142.03,134.64,26.58,28.42,18.02,18.73
40,NorthForest,Oak,Control,337.8,3.15,76.1,176.51,181.11,24.33,24.7,15.5,16.23
41,WestForest,Pine,Control,629.8,6.35,70.7,102.28,88.81,41.84,42.98,20.34,20.48
42,NorthForest,Oak,Intervention,338.6,7.36,58.9,109.39,90.57,23.89,27.88,16.1,15.63
43,WestForest,Scrub,Intervention,425.4,5.65,50.1,126.24,114.39,33.67,35.53,22.4,20.96
44,NorthForest,Pine,Intervention,623.9,9.02,53.9,107.67,94.67,13.12,16.89,10.96,12.42
45,WestForest,Pine,Intervention,538.5,2.04,60.9,93.87,85.92,28.39,31.09,16.99,18.73
46,SouthForest,Oak,Control,490.9,5.25,67.3,153.19,147.63,31.48,32.76,17.39,17.19
47,WestForest,Pine,Intervention,648.7,2.22,49.3,111.23,87.06,31.39,33.7,18.95,19.53
48,EastForest,Scrub,Control,509.5,14.58,40.3,106.71,106.14,29.59,30.16,18.42,17.53
49,WestForest,Pine,Control,459.2,4.67,83.7,112.74,98.19,22.98,25.34,16.74,16.15
50,SouthForest,Oak,Control,317.6,10.76,81.8,84.51,81.62,34.28,35.94,18.68,17.62
51,EastForest,Scrub,Intervention,521.6,5.46,53.2,110.11,95.3,36.98,40.7,22.85,21.74
52,SouthForest,Pine,Control,510.4,8.95,58.3,91.51,98.19,33.54,36.44,14.81,14.92
53,SouthForest,Mixed,Control,394.9,11.19,71.2,99.54,105.27,29.64,30.53,15.73,15.55
54,WestForest,Pine,Intervention,261.9,8.68,63.4,133.23,129.53,34.99,37.69,17.64,18.32
55,SouthForest,Mixed,Control,460.4,3.11,79.3,106.63,96.85,15.75,16.44,20.05,21.75
56,EastForest,Oak,Control,367.1,7.66,77.5,154.01,155.04,31.78,33.2,18.61,18.26
57,WestForest,Pine,Intervention,523.5,2.96,56.3,125.3,113.35,30.57,34.53,22.75,23.65
58,NorthForest,Oak,Intervention,388.3,3.85,54.4,119.67,99.97,37.93,43.01,14.98,15.14
59,EastForest,Oak,Control,684.9,3.83,70.7,128.92,134.91,23.49,28.42,22.01,23.23
60,NorthForest,Oak,Intervention,475.7,8.46,51.8,126.29,102.43,27.84,30.05,24.35,24.72
61,NorthForest,Oak,Intervention,570.8,5.2,71.1,142.11,130.2,30.2,33.39,20.97,22.12
62,WestForest,Mixed,Intervention,240.0,2.34,70.6,133.61,128.94,27.26,30.09,17.06,17.4
63,NorthForest,Mixed,Intervention,777.5,3.8,44.4,171.12,154.44,25.24,31.34,21.64,21.46
64,NorthForest,Mixed,Intervention,523.4,1.15,78.3,119.85,112.18,34.46,38.98,16.92,15.98
65,WestForest,Mixed,Intervention,234.5,2.98,82.8,74.82,60.18,27.94,34.02,19.05,18.75
66,WestForest,Mixed,Intervention,562.2,6.33,83.5,122.2,104.96,17.19,22.35,15.92,16.16
67,EastForest,Pine,Intervention,632.1,11.99,82.0,141.04,141.74,25.7,29.93,24.37,23.42
68,SouthForest,Mixed,Intervention,459.9,3.73,63.8,99.54,85.65,45.89,45.93,19.16,18.07
69,EastForest,Oak,Control,464.5,5.29,46.7,96.87,97.64,24.89,25.53,18.58,18.79
70,SouthForest,Pine,Intervention,491.1,5.07,72.7,138.83,131.8,23.97,24.51,22.66,21.99
71,WestForest,Oak,Intervention,624.5,6.74,89.2,87.51,76.58,23.71,24.44,19.43,19.28
72,SouthForest,Oak,Control,356.3,4.15,66.9,124.76,121.4,30.56,31.66,17.44,15.88
73,SouthForest,Oak,Intervention,293.7,11.03,66.0,126.75,108.93,20.29,24.62,18.3,17.86
74,WestForest,Pine,Intervention,485.8,3.69,65.3,130.37,115.97,19.68,24.71,16.34,17.83
75,SouthForest,Mixed,Control,399.3,9.08,83.2,161.46,151.96,21.95,23.32,24.55,24.64
76,SouthForest,Scrub,Intervention,404.0,0.55,58.3,145.87,131.52,29.3,33.06,19.81,20.07
77,NorthForest,Pine,Intervention,503.9,5.79,41.0,134.94,122.97,36.85,40.67,18.05,18.87
78,EastForest,Pine,Control,545.5,11.27,61.2,73.68,61.26,15.4,14.71,18.43,18.17
79,WestForest,Oak,Intervention,506.6,14.01,54.3,138.13,132.5,32.16,36.09,13.92,13.36
80,NorthForest,Mixed,Intervention,502.0,3.23,69.8,94.43,82.83,11.88,16.55,21.3,21.96
81,NorthForest,Pine,Intervention,506.9,7.41,67.1,133.51,118.91,22.07,23.5,21.88,21.36
82,NorthForest,Pine,Control,435.4,4.21,51.1,158.88,146.28,28.86,30.9,21.66,22.35
83,NorthForest,Pine,Control,465.2,10.64,61.4,112.79,115.62,25.25,27.28,15.43,14.85
84,SouthForest,Pine,Intervention,408.8,4.51,44.5,101.35,87.81,26.94,29.76,19.67,19.15
85,SouthForest,Mixed,Intervention,306.4,4.02,29.6,123.21,115.02,33.6,33.64,14.87,16.23
86,SouthForest,Oak,Intervention,416.1,17.34,62.6,96.92,80.69,28.29,32.13,22.67,21.5
87,EastForest,Mixed,Control,530.9,10.56,56.3,126.53,125.15,21.49,24.85,15.4,14.72
88,NorthForest,Pine,Intervention,309.9,3.68,59.7,96.31,77.07,23.01,26.51,23.92,24.81
89,NorthForest,Oak,Intervention,282.7,6.11,50.5,105.52,90.9,21.88,25.59,20.8,21.45
90,EastForest,Pine,Intervention,574.7,1.18,64.4,140.42,127.37,21.92,25.77,23.92,22.56
91,WestForest,Scrub,Intervention,581.1,4.34,93.9,172.58,170.4,26.11,30.24,17.63,17.6
92,EastForest,Pine,Intervention,407.8,2.83,50.9,99.11,103.65,16.05,18.92,17.98,18.34
93,NorthForest,Oak,Control,272.5,0.77,48.3,81.88,78.75,24.61,26.41,19.49,18.48
94,NorthForest,Mixed,Control,257.9,5.11,51.1,124.48,115.8,32.39,34.24,17.58,18.71
95,SouthForest,Pine,Control,553.7,3.02,42.1,108.57,100.51,31.23,31.37,17.7,16.59
96,WestForest,Mixed,Control,238.5,5.64,52.2,117.55,113.81,29.92,29.37,14.81,15.37
97,EastForest,Pine,Intervention,433.4,7.17,57.2,126.72,116.05,29.02,31.7,17.77,18.21
98,NorthForest,Mixed,Intervention,322.5,5.64,44.1,100.27,86.16,33.97,36.98,17.48,17.4
99,EastForest,Scrub,Intervention,422.0,5.02,82.1,114.59,99.06,29.65,34.2,15.9,16.32
100,EastForest,Mixed,Intervention,347.9,9.01,39.3,86.34,73.59,25.38,29.76,16.37,17.74
101,WestForest,Mixed,Intervention,284.2,4.32,53.9,121.22,103.72,33.67,39.5,16.4,14.82
102,EastForest,Mixed,Control,485.6,3.92,69.1,84.45,84.36,32.3,32.75,23.23,24.3
103,NorthForest,Mixed,Intervention,364.9,10.98,57.7,99.67,87.37,37.86,42.32,13.73,14.77
104,EastForest,Pine,Intervention,744.6,3.86,61.1,80.45,69.77,21.15,24.45,19.02,19.03
105,WestForest,Oak,Intervention,316.4,9.21,93.4,118.63,93.78,27.27,29.75,14.86,15.7
106,WestForest,Oak,Control,538.1,5.85,56.0,151.71,150.44,23.88,22.26,21.88,21.81
107,EastForest,Oak,Control,403.0,11.35,70.7,145.47,137.15,31.77,34.52,16.03,15.35
108,NorthForest,Pine,Control,304.3,7.33,41.8,117.23,112.79,33.29,36.39,16.66,17.34
109,EastForest,Pine,Intervention,371.0,7.42,79.9,113.43,100.54,33.45,35.85,19.59,18.89
110,SouthForest,Oak,Control,480.2,2.98,63.2,112.9,106.97,20.88,20.44,21.35,20.9
111,NorthForest,Oak,Intervention,579.0,2.85,49.9,90.93,76.12,34.37,37.23,16.69,17.39
112,EastForest,Scrub,Intervention,366.3,7.19,64.9,122.22,116.8,26.46,32.07,12.85,13.12
113,NorthForest,Oak,Intervention,587.5,3.39,43.5,167.75,157.82,24.92,28.96,18.86,20.09
114,EastForest,Pine,Intervention,401.8,10.17,43.0,115.37,99.91,19.1,21.06,17.38,16.87
115,SouthForest,Oak,Control,370.7,3.44,51.9,140.88,142.75,33.08,32.8,18.04,18.76
116,WestForest,Oak,Intervention,295.2,5.57,56.7,102.9,90.86,18.75,21.97,27.19,26.95
117,WestForest,Scrub,Control,420.6,1.67,59.2,115.1,114.04,20.82,19.54,17.45,17.02
118,WestForest,Oak,Control,489.0,5.85,63.7,125.65,122.14,39.76,39.48,16.81,17.27
119,NorthForest,Oak,Intervention,305.4,3.88,51.5,127.35,127.19,38.06,43.69,19.27,18.51
120,NorthForest,Scrub,Intervention,375.4,2.14,67.2,120.5,107.2,30.65,33.17,14.86,16.73
121,NorthForest,Mixed,Control,532.3,2.55,71.8,149.78,145.83,17.12,20.38,22.9,23.23
122,NorthForest,Oak,Control,667.2,1.6,79.1,119.62,121.44,25.1,24.5,21.92,21.26
123,SouthForest,Scrub,Intervention,360.6,6.48,57.6,156.13,136.23,39.05,41.64,16.43,16.49
124,EastForest,Pine,Control,517.4,10.62,73.4,93.13,86.42,36.96,36.69,18.03,19.21
125,NorthForest,Mixed,Control,399.5,2.26,61.3,132.38,119.07,29.13,31.15,19.69,19.02
126,NorthForest,Oak,Intervention,217.3,16.18,49.0,112.04,102.67,24.62,28.22,14.47,14.39
127,WestForest,Oak,Control,399.3,3.72,67.9,136.3,136.11,39.74,38.92,22.26,23.04
128,SouthForest,Oak,Control,370.8,1.98,82.4,83.16,77.37,24.06,22.48,18.31,18.92
129,WestForest,Mixed,Intervention,431.3,5.84,51.0,105.92,95.98,34.53,37.27,21.38,20.2
130,SouthForest,Pine,Control,498.3,14.62,49.9,68.35,65.94,21.57,22.06,14.77,14.43
131,SouthForest,Scrub,Intervention,589.0,5.06,33.8,142.39,132.05,30.14,33.0,17.51,19.4
132,NorthForest,Pine,Intervention,293.9,6.34,34.5,81.97,82.84,21.1,24.03,23.25,23.34
133,NorthForest,Oak,Control,505.0,15.23,42.1,132.74,111.72,22.09,21.67,19.61,20.32
134,WestForest,Oak,Intervention,509.8,2.36,69.5,125.83,116.16,31.54,34.9,10.74,10.75
135,NorthForest,Oak,Intervention,614.3,5.36,32.3,90.27,79.46,20.15,23.77,21.51,21.95
136,SouthForest,Mixed,Intervention,672.0,7.24,69.0,146.64,133.89,33.96,36.62,11.96,10.48
137,WestForest,Oak,Intervention,472.6,1.13,54.4,135.98,120.09,35.25,38.27,18.22,18.37
138,SouthForest,Pine,Intervention,813.4,4.46,46.8,134.83,128.16,15.03,17.18,15.59,15.35
139,EastForest,Mixed,Control,498.9,7.89,65.2,103.14,96.63,24.86,27.07,24.54,24.9
140,NorthForest,Pine,Control,370.6,8.72,40.1,83.42,79.44,33.31,35.93,19.59,19.56
141,WestForest,Mixed,Intervention,456.0,8.24,82.2,82.78,61.5,25.39,29.02,20.06,20.19
142,WestForest,Mixed,Control,315.5,3.81,44.5,146.57,149.42,31.41,31.46,21.3,20.93
143,EastForest,Oak,Intervention,384.2,4.24,85.3,83.32,73.16,27.54,30.0,23.58,21.48
144,WestForest,Pine,Control,522.7,2.43,82.4,112.29,104.1,26.7,28.66,21.68,22.34
145,EastForest,Pine,Control,332.4,8.21,69.4,126.82,129.38,25.52,27.44,15.72,16.77
146,WestForest,Pine,Intervention,539.2,14.31,43.8,107.88,97.64,31.38,34.96,17.81,18.42
147,WestForest,Oak,Control,445.7,9.74,67.9,179.7,168.85,5.5,6.49,18.17,18.43
148,WestForest,Pine,Control,214.0,11.79,65.9,128.32,130.22,28.02,27.72,22.25,21.8
149,SouthForest,Mixed,Intervention,459.4,12.18,64.1,129.27,121.7,8.55,12.81,11.66,10.19
150,SouthForest,Pine,Intervention,276.0,3.51,61.8,133.06,121.81,37.93,43.23,16.6,17.55
151,WestForest,Mixed,Intervention,219.3,9.04,79.3,109.37,100.9,21.73,26.56,16.52,17.58
152,WestForest,Oak,Control,472.5,2.87,39.4,129.04,129.75,19.6,19.51,13.85,14.03
153,EastForest,Oak,Control,515.8,5.93,47.5,160.23,157.86,37.84,40.52,17.23,17.06
154,SouthForest,Mixed,Intervention,583.1,0.36,40.5,138.03,115.94,31.29,34.26,21.95,20.79
155,NorthForest,Oak,Control,341.3,13.86,64.3,138.82,140.02,31.75,31.79,17.19,16.98
156,SouthForest,Mixed,Control,395.3,9.07,83.0,120.3,120.4,18.22,17.38,18.84,18.47
157,WestForest,Pine,Control,344.1,3.09,38.8,97.99,92.0,27.91,26.75,22.84,22.07
158,EastForest,Oak,Intervention,448.9,3.27,65.4,134.6,124.98,36.19,39.94,20.63,20.71
159,WestForest,Oak,Control,513.2,6.75,93.8,126.38,119.2,18.24,17.23,20.91,20.55
160,WestForest,Scrub,Intervention,338.9,1.51,33.7,161.93,142.07,43.37,46.34,15.8,16.01
161,WestForest,Oak,Intervention,567.0,1.9,76.3,131.45,119.51,26.8,29.34,19.98,20.56
162,SouthForest,Oak,Control,265.9,5.49,57.8,47.06,35.31,29.14,27.19,16.65,17.14
163,SouthForest,Mixed,Control,304.0,2.16,61.6,58.56,50.47,38.26,38.35,18.16,19.25
164,WestForest,Mixed,Control,425.7,6.43,81.7,161.16,173.19,25.24,27.3,20.68,22.47
165,WestForest,Pine,Control,420.0,5.54,42.6,138.37,125.19,30.13,31.06,24.14,23.83
166,SouthForest,Pine,Control,542.4,1.12,61.2,130.2,124.93,29.58,29.87,15.43,15.99
167,NorthForest,Pine,Control,483.4,2.36,52.8,121.81,118.17,28.48,28.78,17.53,17.91
168,SouthForest,Pine,Intervention,466.5,12.62,24.3,92.59,86.43,19.81,23.37,14.32,15.61
169,EastForest,Pine,Control,435.9,10.48,60.9,120.7,113.35,29.72,30.73,16.36,15.61
170,SouthForest,Oak,Intervention,584.3,6.13,53.9,155.26,142.09,41.72,46.45,16.87,16.98
171,EastForest,Pine,Control,653.5,3.86,40.3,151.9,164.91,35.05,30.04,18.19,19.67
172,NorthForest,Pine,Intervention,264.3,5.53,65.6,108.06,100.34,17.87,19.65,19.4,19.48
173,WestForest,Mixed,Control,540.9,7.02,64.6,100.2,100.16,37.97,40.17,21.88,22.4
174,EastForest,Oak,Control,557.3,0.23,66.7,126.84,122.2,18.39,20.46,12.32,12.55
175,NorthForest,Oak,Intervention,372.9,11.15,59.8,79.53,79.69,32.96,34.98,18.41,17.15
176,WestForest,Oak,Control,223.0,2.09,59.9,100.58,100.14,35.0,34.1,17.31,16.8
177,SouthForest,Pine,Intervention,506.1,1.9,75.7,125.77,110.38,21.65,23.71,16.39,16.96
178,WestForest,Pine,Intervention,431.7,4.38,65.4,107.1,93.96,25.14,27.75,19.35,18.7
179,EastForest,Pine,Intervention,354.6,3.31,61.2,97.03,90.57,29.81,32.61,14.28,14.38
180,WestForest,Oak,Control,335.4,4.3,52.2,131.66,128.3,26.85,28.21,14.29,14.14
181,WestForest,Mixed,Intervention,538.0,7.77,52.0,132.92,118.5,27.51,31.29,18.07,18.33
182,NorthForest,Pine,Control,375.3,1.88,67.3,139.81,136.06,16.39,16.39,17.01,16.72
183,EastForest,Oak,Intervention,249.8,2.6,27.7,128.67,117.08,24.65,29.18,20.68,20.9
184,EastForest,Oak,Intervention,197.1,2.15,44.5,108.29,93.4,29.17,30.65,21.18,20.42
185,SouthForest,Mixed,Intervention,507.4,10.46,59.9,116.74,100.05,39.33,46.8,19.79,20.79
186,WestForest,Pine,Control,452.0,3.52,81.1,133.7,136.65,19.19,19.06,21.81,21.43
187,SouthForest,Mixed,Control,447.8,10.62,49.2,108.84,112.0,22.71,24.31,18.66,18.26
188,NorthForest,Mixed,Intervention,591.4,10.61,24.8,120.16,105.05,29.17,31.5,12.05,11.64
189,NorthForest,Pine,Control,659.0,4.8,39.7,146.05,140.42,34.89,36.05,13.56,14.7
190,WestForest,Mixed,Intervention,488.1,2.03,53.0,134.19,124.18,28.98,31.8,15.4,15.09
191,WestForest,Mixed,Intervention,412.9,4.98,68.4,116.38,89.17,36.53,37.75,17.76,18.07
192,SouthForest,Scrub,Control,388.1,2.46,57.9,123.89,116.38,21.91,20.57,22.71,22.48
193,EastForest,Mixed,Control,618.3,8.29,79.5,142.56,140.04,16.31,15.66,16.35,15.12
194,EastForest,Scrub,Intervention,393.2,3.3,53.6,147.8,135.39,31.98,34.54,16.88,15.11
195,SouthForest,Scrub,Control,349.6,4.66,52.6,144.84,132.57,23.06,25.87,20.9,19.85
196,WestForest,Pine,Control,614.7,3.5,57.0,110.47,115.61,14.44,14.54,17.58,17.89
197,NorthForest,Oak,Intervention,576.8,11.8,71.4,106.2,86.5,37.45,39.9,24.57,24.33
198,EastForest,Mixed,Intervention,556.5,1.78,43.5,93.75,83.08,34.06,36.67,18.4,18.76
199,SouthForest,Oak,Control,468.8,2.39,28.7,124.41,116.48,26.79,25.13,24.62,24.58
200,WestForest,Mixed,Intervention,252.3,1.86,36.5,140.6,134.59,25.97,28.58,21.0,21.6
201,SouthForest,Pine,Intervention,293.2,5.07,59.7,139.43,133.84,27.14,33.24,21.92,21.35
202,WestForest,Oak,Intervention,287.9,12.11,64.9,86.75,65.88,24.16,24.01,13.78,14.06
203,WestForest,Pine,Intervention,488.8,4.09,44.5,110.15,101.88,36.81,40.45,16.81,17.39
204,NorthForest,Oak,Intervention,420.1,10.24,70.4,160.77,158.06,21.85,23.82,18.86,19.17
205,NorthForest,Pine,Intervention,456.4,7.41,59.7,123.31,105.68,28.22,32.18,22.46,21.7
206,NorthForest,Mixed,Intervention,502.1,3.7,50.8,158.35,151.84,21.85,26.03,22.77,23.34
207,EastForest,Scrub,Control,591.0,2.46,78.0,115.57,107.73,11.55,11.06,21.23,21.75
208,WestForest,Mixed,Intervention,438.7,7.97,73.0,91.4,76.83,28.64,32.62,20.74,21.25
209,SouthForest,Oak,Intervention,620.6,8.52,48.5,148.74,140.03,28.66,31.86,24.27,26.43
210,EastForest,Scrub,Intervention,491.3,4.95,83.6,123.79,118.74,27.11,28.05,16.32,16.19
211,EastForest,Mixed,Intervention,251.7,11.45,79.3,133.1,114.66,28.01,32.36,16.31,17.41
212,EastForest,Oak,Control,582.7,2.13,68.1,142.34,139.67,26.45,28.17,17.85,16.9
213,WestForest,Pine,Intervention,486.1,6.64,64.1,96.15,75.45,16.78,19.83,21.14,21.68
214,NorthForest,Scrub,Intervention,420.2,5.48,39.5,140.39,121.42,19.18,20.65,12.88,12.0
215,SouthForest,Oak,Intervention,414.0,16.9,32.9,92.12,81.45,30.81,31.36,17.82,17.76
216,WestForest,Oak,Intervention,542.8,2.24,42.3,172.93,163.76,29.09,33.6,16.84,16.31
217,WestForest,Mixed,Intervention,476.0,6.46,60.3,118.33,108.0,37.91,38.56,22.57,23.07
218,NorthForest,Oak,Control,400.1,1.73,60.9,101.02,97.72,33.74,33.19,19.43,18.33
219,EastForest,Mixed,Intervention,433.7,12.46,71.3,81.38,70.06,31.95,34.23,16.81,18.0
220,WestForest,Pine,Control,408.0,2.98,49.9,151.43,141.4,28.19,28.95,16.54,17.03
221,SouthForest,Mixed,Control,550.3,11.71,45.5,64.64,57.34,24.25,25.7,16.16,17.86
222,EastForest,Mixed,Intervention,433.0,5.73,87.9,118.99,102.64,33.62,35.54,25.77,26.53
223,NorthForest,Pine,Intervention,329.8,2.39,92.6,63.94,51.29,30.37,31.1,18.62,20.32
224,EastForest,Mixed,Intervention,309.3,6.59,81.3,127.64,111.07,23.22,25.72,17.85,18.51
225,EastForest,Pine,Intervention,305.0,8.85,54.8,163.54,157.02,31.91,34.41,21.22,21.79
226,WestForest,Mixed,Control,509.5,10.32,62.4,126.24,119.35,34.43,35.76,16.96,16.6
227,WestForest,Scrub,Intervention,505.0,5.72,74.6,138.22,126.26,27.17,31.66,19.15,20.47
228,EastForest,Pine,Intervention,474.1,3.15,63.6,116.01,98.31,19.79,21.42,18.81,18.66
229,SouthForest,Mixed,Control,346.6,10.03,58.3,142.4,137.78,21.9,22.5,17.68,17.14
230,EastForest,Oak,Control,535.4,8.5,53.9,127.49,127.1,30.15,31.77,16.03,15.24
231,EastForest,Oak,Intervention,546.7,9.43,65.6,135.21,114.2,28.01,29.3,21.39,21.1
232,EastForest,Mixed,Control,354.3,1.35,67.5,88.07,92.58,29.54,31.26,16.14,16.23
233,EastForest,Pine,Control,495.2,2.8,47.0,143.2,140.23,41.43,41.83,25.01,24.06
234,EastForest,Mixed,Intervention,413.1,2.57,75.4,102.06,94.45,24.22,27.22,14.9,14.39
235,EastForest,Oak,Control,466.3,2.44,66.0,137.02,138.0,34.56,38.25,19.77,21.81
236,WestForest,Oak,Control,516.9,13.75,55.8,157.01,149.89,11.14,11.23,20.0,19.87
237,EastForest,Oak,Intervention,471.6,9.62,67.4,182.09,163.11,27.65,30.72,19.51,18.28
238,NorthForest,Scrub,Intervention,386.5,3.95,28.6,161.38,149.37,26.49,26.91,14.33,13.62
239,WestForest,Pine,Intervention,192.8,5.88,51.2,106.25,91.82,38.73,40.72,18.76,19.28
240,NorthForest,Pine,Intervention,536.3,11.43,48.3,105.48,96.35,29.73,33.58,9.83,9.03
241,NorthForest,Pine,Intervention,337.8,1.45,57.6,107.8,87.2,19.97,22.6,22.08,20.55
242,SouthForest,Oak,Intervention,571.3,1.75,70.8,127.71,121.73,25.95,29.6,17.62,18.13
243,SouthForest,Pine,Intervention,539.2,3.05,64.5,127.54,114.87,43.38,48.14,14.85,15.8
244,EastForest,Oak,Control,567.8,10.92,93.4,122.8,116.7,25.15,28.0,23.16,23.15
245,NorthForest,Mixed,Control,428.0,4.11,56.0,140.18,132.9,37.6,38.18,15.28,15.88
246,WestForest,Oak,Intervention,581.5,13.61,83.9,97.47,80.66,24.26,25.41,13.0,12.44
247,WestForest,Mixed,Intervention,486.8,6.38,56.2,87.99,74.43,24.47,26.5,19.19,19.94
248,NorthForest,Oak,Intervention,318.3,3.74,71.3,76.56,65.18,18.45,20.5,13.33,12.49
249,SouthForest,Pine,Control,301.5,6.4,55.5,150.34,151.88,30.03,31.43,17.15,16.58
